               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.034448,           0.0045969,           0.0019594,             0.10075,             0.99249,             0.99542,             0.99488,             0.80032,             0.01857,           0.0031257,          0.00085662,            0.089904,           0.0098232,           0.0098232,           0.0098232
                  97,            0.035121,           0.0046743,           0.0019728,             0.10043,             0.99749,                   1,               0.995,             0.76148,            0.019466,           0.0031198,          0.00054455,            0.090191,           0.0098195,           0.0098195,           0.0098195
                  98,            0.034754,           0.0046883,           0.0021259,             0.09906,             0.99676,             0.99702,               0.995,             0.81093,            0.018177,           0.0030878,          0.00060377,            0.091024,           0.0098157,           0.0098157,           0.0098157
                  99,            0.034846,           0.0046817,           0.0019007,            0.099082,             0.99906,                   1,               0.995,             0.80812,            0.018437,           0.0030969,          0.00057586,            0.089418,           0.0098119,           0.0098119,           0.0098119
                 100,            0.034741,           0.0046419,           0.0019138,            0.099499,             0.99727,             0.99985,             0.99492,             0.79077,            0.018556,           0.0030993,           0.0004547,            0.091274,           0.0098081,           0.0098081,           0.0098081
                 101,            0.034262,           0.0046671,           0.0016887,             0.09963,             0.99642,             0.99518,             0.99488,              0.8114,            0.018805,           0.0030503,          0.00048352,            0.088966,           0.0098042,           0.0098042,           0.0098042
                 102,             0.03505,           0.0047538,           0.0022301,            0.098659,             0.99845,                   1,               0.995,             0.79113,            0.018765,           0.0031407,          0.00048255,            0.090261,           0.0098003,           0.0098003,           0.0098003
                 103,            0.034185,           0.0047205,           0.0016567,            0.097868,             0.99736,                   1,               0.995,             0.81968,            0.017854,           0.0030729,          0.00041334,            0.087582,           0.0097964,           0.0097964,           0.0097964
                 104,             0.03405,           0.0047518,           0.0021807,            0.099012,             0.99591,                   1,             0.99494,             0.79754,            0.018374,           0.0030918,          0.00050654,            0.085974,           0.0097924,           0.0097924,           0.0097924
                 105,            0.034132,           0.0046079,           0.0018202,            0.098408,             0.99384,             0.99376,             0.99492,             0.81959,            0.017772,           0.0030349,          0.00066513,            0.085847,           0.0097884,           0.0097884,           0.0097884
                 106,            0.033931,           0.0046363,           0.0018122,             0.09795,             0.99121,             0.99993,             0.99348,             0.80849,            0.018143,           0.0030514,          0.00051239,            0.086668,           0.0097843,           0.0097843,           0.0097843
                 107,              0.0339,           0.0045799,           0.0019594,            0.097916,              0.9975,             0.99799,              0.9949,             0.81331,            0.017809,           0.0030749,          0.00046075,            0.086025,           0.0097803,           0.0097803,           0.0097803
                 108,            0.033938,           0.0045788,           0.0020847,             0.09912,             0.99391,             0.99921,              0.9948,             0.81319,            0.017451,           0.0030399,          0.00059684,            0.087344,           0.0097761,           0.0097761,           0.0097761
                 109,            0.034089,           0.0045936,            0.001759,            0.097431,              0.9986,              0.9966,               0.995,             0.82004,            0.017376,               0.003,          0.00055694,            0.087143,            0.009772,            0.009772,            0.009772
                 110,            0.033961,           0.0047483,           0.0018889,            0.097441,             0.99849,              0.9994,               0.995,              0.8018,             0.01751,           0.0030526,          0.00044614,            0.087565,           0.0097678,           0.0097678,           0.0097678
                 111,            0.033784,           0.0046811,           0.0017333,            0.096541,             0.99711,                   1,               0.995,             0.81812,            0.017319,           0.0030151,           0.0004831,            0.086805,           0.0097635,           0.0097635,           0.0097635
                 112,            0.033942,           0.0045462,           0.0016268,            0.097076,             0.99772,                   1,               0.995,             0.82074,            0.017432,           0.0030161,          0.00045697,            0.087613,           0.0097592,           0.0097592,           0.0097592
                 113,            0.034247,            0.004654,           0.0019218,            0.096881,             0.99419,             0.99736,              0.9948,             0.79369,            0.017325,           0.0029799,          0.00053384,            0.087033,           0.0097549,           0.0097549,           0.0097549
                 114,            0.033822,            0.004575,           0.0019375,             0.09705,             0.99679,             0.99738,             0.99483,             0.82809,            0.016987,           0.0029889,          0.00054925,            0.086005,           0.0097506,           0.0097506,           0.0097506
                 115,            0.034158,            0.004608,           0.0019728,            0.096436,             0.99838,             0.99841,               0.995,             0.78081,             0.01773,           0.0030165,          0.00045889,            0.088335,           0.0097462,           0.0097462,           0.0097462
                 116,            0.033587,           0.0046708,           0.0016153,            0.095497,             0.99805,             0.99953,               0.995,             0.80564,            0.016603,           0.0029347,          0.00045559,            0.087148,           0.0097418,           0.0097418,           0.0097418
                 117,            0.033678,           0.0046336,           0.0022129,            0.097123,             0.99809,             0.99963,               0.995,             0.82765,            0.016996,           0.0029543,          0.00055422,            0.086141,           0.0097373,           0.0097373,           0.0097373
                 118,            0.034053,           0.0046435,           0.0019801,            0.095381,             0.99768,             0.99638,             0.99478,             0.81837,            0.017137,           0.0029944,          0.00053523,            0.087067,           0.0097328,           0.0097328,           0.0097328
                 119,            0.033604,           0.0046452,           0.0017105,            0.095473,             0.99796,             0.99739,              0.9947,             0.82143,            0.016869,           0.0029761,          0.00035407,            0.086804,           0.0097283,           0.0097283,           0.0097283
                 120,            0.033518,           0.0045528,           0.0019421,            0.095908,             0.99674,                   1,               0.995,             0.79019,            0.016928,            0.002983,          0.00044083,            0.086907,           0.0097237,           0.0097237,           0.0097237
                 121,            0.033142,           0.0045214,           0.0015012,            0.095264,             0.99663,              0.9995,             0.99397,             0.82443,            0.017109,            0.002974,          0.00043513,            0.085553,           0.0097191,           0.0097191,           0.0097191
                 122,             0.03333,            0.004665,            0.001751,             0.09632,             0.99729,             0.99882,               0.995,             0.82249,            0.016672,           0.0029422,          0.00040583,            0.085832,           0.0097145,           0.0097145,           0.0097145
                 123,            0.033671,           0.0045665,            0.001567,            0.094351,              0.9992,             0.99823,               0.995,             0.82982,            0.016615,           0.0029416,          0.00039754,            0.084188,           0.0097098,           0.0097098,           0.0097098
                 124,            0.034258,           0.0045594,           0.0014551,            0.093781,             0.99836,             0.99911,               0.995,             0.81843,            0.016831,           0.0029543,          0.00049602,            0.084511,           0.0097051,           0.0097051,           0.0097051
                 125,            0.033523,            0.004544,           0.0017661,            0.094165,              0.9963,             0.99891,               0.995,             0.82456,            0.016418,           0.0029468,          0.00045564,            0.084133,           0.0097003,           0.0097003,           0.0097003
                 126,            0.033476,           0.0045106,           0.0016149,            0.093564,             0.99496,             0.99813,               0.995,             0.82782,            0.016461,           0.0029381,          0.00057704,            0.083572,           0.0096955,           0.0096955,           0.0096955
                 127,            0.033841,            0.004556,           0.0018035,             0.09593,             0.99391,             0.99452,             0.99436,             0.82347,            0.016776,           0.0029462,          0.00083439,            0.083864,           0.0096907,           0.0096907,           0.0096907
                 128,            0.033498,           0.0045925,            0.001713,            0.093951,              0.9988,             0.99838,               0.995,             0.82252,            0.016732,             0.00294,          0.00034825,            0.084191,           0.0096858,           0.0096858,           0.0096858
                 129,            0.033586,           0.0046268,           0.0018897,            0.094096,             0.99663,             0.99999,               0.995,             0.82876,            0.016737,            0.002932,          0.00035872,            0.083805,           0.0096809,           0.0096809,           0.0096809
                 130,            0.032675,            0.004685,           0.0015485,            0.095407,             0.99882,             0.99833,               0.995,             0.83453,            0.017123,           0.0029513,          0.00032932,            0.082728,            0.009676,            0.009676,            0.009676
